alias,technicalName,establishedBy,yearEstablished,linkToVideo,startPos,endPos,difficultyLevel,description,tips
-,Backbounce Richy Roll to Feet,-,-,https://youtu.be/uuFlRIMmP8M?t=260,BACK,EXPOSURE,,From Backbounce perform a Richy Roll but land directly to Feet.,
-,Backbounce Panic Roll,-,-,https://www.youtube.com/watch?v=LPsuhcOZd0Q,BACK,KOREAN,,From Backbounce swing one leg to one side and roll around the line on the other side to perform a Panic Roll.,
-,Backbounce Panic Roll to Feet,-,-,https://youtu.be/Se5XNo0RSP8?t=437,BACK,EXPOSURE,,From Backbounce do a Panic Roll to Feet.,
-,Belly Roll,-,-,https://www.youtube.com/watch?v=1qJJ26dPKyc,BELLY,BELLY,,With both hands on the line supporting your weight you lie on your belly and roll forward around the line.,
-,Back Belly Roll,-,-,-,BELLY,BELLY,,With both hands on the line supporting your weight you lie on your belly and roll backward around the line.,
JarJar Roll,Belly Roll to Feet,Enzo Fuchs,2018,https://youtu.be/qUxUNfgvoPs?t=107,BELLY,EXPOSURE,,From Belly turn one time around the line and land in Exposure in one bounce.,
-,Back Belly Roll to Feet,-,-,https://youtu.be/7yLCyoHgUS0?t=723,BELLY,EXPOSURE,,Do a Belly Roll to Feet but rolling backwards.,
Underflip,Korean 270 Spin to Back Belly Roll,Augustin Moinat,2021,-,KOREAN,BELLY,,Spin like you would do a flowflip (without the rotation) but then finish with a back belly roll.,
-,Makako,David Palomo,2021,https://youtu.be/qUxUNfgvoPs?t=141,NEVERMIND,BELLY,,Hang in Nevermind but with the hands opposing each other. Thread the leg that is free through your leg and the closer arm and kick through to go to Back Belly Roll.,
-,Makako to Feet,David Palomo,2021,https://www.instagram.com/p/CPDdueLFBro/,NEVERMIND,EXPOSURE,,Makako landing in Exposure.,
-,Front Chest Roll,-,-,https://youtu.be/ih6Rx-UpBfw?t=333,CHEST,CHEST,,From lying on your chest get some momentum with your free arm and then roll around the line grabbing it with both hands. Land back in chest.,You can wrap the foot around the line to avoid falling away from the line.
-,Back Chest Roll,-,-,,CHEST,CHEST,,From lying on your chest get some momentum with your free arm and then roll around the line grabbing it with both hands. Land back in chest.,You can wrap the foot around the line to avoid falling away from the line.
-,Front Chest Roll to Feet,-,-,https://youtu.be/qUxUNfgvoPs?t=35,CHEST,STAND,,Do a Chest Roll and in the end of the roll push yourself away from the line to put your feet on.,
-,Back Chest Roll to Feet,-,-,https://www.instagram.com/p/CUITT4wgvmH/,CHEST,STAND,,Do a Back Chest Roll and in the end of the roll push yourself away from the line to put your feet on.,
